contamination_type,ratio,method,task_id,seed,n_contaminated_total,n_contaminated_injected,contamination_rate,team_reward,total_injected,propagation_depth
false_procedural,0.1,smtr_receiver,69,2,0,0,0.0,4.3333,13,0.0
false_procedural,0.1,full_memory,70,0,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,70,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,70,0,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,70,0,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,70,1,0,0,0.0,0.0,18,0.0
false_procedural,0.1,retrieval,70,1,0,0,0.0,0.3333,9,0.0
false_procedural,0.1,smtr_uniform,70,1,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,70,1,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,72,0,0,0,0.0,-0.3333,12,0.0
false_procedural,0.1,retrieval,72,0,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,72,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,72,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,72,1,0,0,0.0,0.0,6,0.0
false_procedural,0.1,retrieval,72,1,0,0,0.0,0.0,6,0.0
false_procedural,0.1,smtr_uniform,72,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,72,1,0,0,0.0,0.0,0,0.0
